,Approved_Flag_P1,Approved_Flag_P4,num_std_12mts,num_std,num_std_6mts,pct_PL_enq_L6m_of_ever,pct_PL_enq_L6m_of_L12m,pct_tl_open_L12M,AGE
10152,1,0,3,25,0,0.571,1.0,0.158,44
44614,0,0,0,0,0,0.0,0.0,0.0,37
19852,0,0,0,0,0,0.0,0.0,0.5,41
20853,1,0,0,0,0,0.0,0.0,0.0,26
14958,0,0,0,0,0,1.0,1.0,0.25,35
44091,0,0,0,0,0,0.0,0.0,1.0,25
23068,0,0,0,0,0,0.0,0.0,0.333,24
44991,0,0,0,0,0,0.0,0.0,0.0,27
17218,0,0,0,0,0,0.0,0.0,0.75,31
2540,1,0,20,127,6,0.0,0.0,0.111,54
49768,0,0,0,0,0,0.0,0.0,1.0,42
33419,0,1,0,0,0,1.0,1.0,1.0,24
33824,0,0,0,0,0,0.0,0.0,0.5,33
6525,0,0,0,0,0,0.0,0.0,0.0,33
8544,0,0,7,8,3,0.0,0.0,0.0,25
11155,0,0,0,16,0,0.0,0.0,0.417,38
42660,0,0,2,2,2,0.0,0.0,1.0,25
20958,0,0,11,18,5,0.8,1.0,0.0,25
31754,0,0,0,0,0,0.0,0.0,0.8,28
41911,0,0,0,0,0,0.0,0.0,1.0,31
1568,0,0,0,9,0,0.0,0.0,0.0,42
18943,0,0,0,0,0,0.0,0.0,0.8,34
45031,0,0,8,12,4,0.0,0.0,0.25,26
4936,0,0,0,0,0,0.0,0.0,1.0,36
42095,0,0,10,33,4,1.0,1.0,0.333,28
8513,0,1,0,0,0,1.0,1.0,1.0,27
38007,0,0,0,5,0,0.0,0.0,0.0,32
20882,0,0,1,1,1,1.0,1.0,0.333,37
37447,0,0,0,0,0,0.0,0.0,0.429,26
2967,0,0,0,0,0,0.5,0.5,0.8,21
50972,0,0,0,0,0,0.0,0.0,0.053,29
32412,0,1,1,1,1,1.0,1.0,1.0,22
36616,0,0,0,0,0,1.0,1.0,0.667,25
50962,0,0,0,0,0,0.0,0.0,0.0,37
34647,0,0,0,0,0,0.0,0.0,0.0,24
11644,0,0,0,0,0,0.5,1.0,0.333,32
20349,0,0,2,2,2,0.0,0.0,0.8,23
27957,0,1,0,0,0,1.0,1.0,0.5,28
11191,0,0,0,0,0,0.0,0.0,0.0,31
15322,0,0,2,2,2,0.0,0.0,0.0,37
51061,0,0,0,0,0,0.0,0.0,1.0,42
1672,0,0,0,0,0,0.0,0.0,0.0,30
14600,0,0,10,11,4,0.0,0.0,0.5,27
37951,0,0,0,0,0,0.0,0.0,0.0,22
2546,0,0,0,0,0,0.0,0.0,0.692,42
20907,0,0,0,0,0,1.0,1.0,1.0,37
38045,0,0,1,1,0,1.0,1.0,0.1,26
28359,0,0,0,0,0,0.0,0.0,0.0,31
22175,0,0,7,14,4,1.0,1.0,0.4,33
7825,0,0,0,0,0,0.0,0.0,0.0,24
20274,0,0,0,0,0,0.0,0.0,0.0,30
22532,0,0,0,0,0,0.0,0.0,0.0,25
26873,1,0,11,18,5,0.0,0.0,0.25,42
40599,0,0,0,0,0,1.0,1.0,0.667,32
2536,0,0,0,0,0,0.0,0.0,0.0,36
3588,0,0,5,6,5,0.0,0.0,0.0,46
15718,1,0,32,37,14,0.0,0.0,0.667,34
30385,0,0,0,0,0,0.429,0.429,0.778,36
18321,0,0,2,2,2,0.4,0.4,1.0,24
14452,0,0,10,32,4,0.0,0.0,0.333,49
549,1,0,15,31,9,0.0,0.0,0.5,29
18358,1,0,37,65,15,0.0,0.0,0.25,29
31590,0,0,0,0,0,0.0,0.0,1.0,34
32654,0,0,0,0,0,1.0,1.0,0.667,26
41847,0,0,0,0,0,1.0,1.0,0.0,47
20485,0,0,5,21,4,0.333,1.0,0.231,40
25031,0,0,0,0,0,0.0,0.0,0.5,23
9659,0,0,0,0,0,0.0,0.0,0.5,34
21528,1,0,0,0,0,0.0,0.0,0.0,35
16824,0,0,0,0,0,0.0,0.0,0.0,42
27091,0,0,0,0,0,0.0,0.0,0.0,22
12871,0,0,0,0,0,0.0,0.0,1.0,25
37987,0,0,0,0,0,0.0,0.0,0.0,22
13015,0,0,0,0,0,0.0,0.0,1.0,33
42408,0,1,0,0,0,1.0,1.0,0.0,35
28374,0,0,7,7,7,0.0,0.0,0.625,33
4004,0,0,0,0,0,0.0,0.0,0.0,39
30360,0,0,0,0,0,0.0,0.0,1.0,35
43257,0,0,14,24,8,0.0,0.0,0.333,29
33102,0,0,0,3,0,0.0,0.0,0.0,46
32618,0,0,0,0,0,0.0,0.0,0.0,35
32643,0,0,0,0,0,0.0,0.0,0.0,42
28581,0,0,11,35,5,0.0,0.0,0.0,42
31203,1,0,24,34,14,0.0,0.0,0.231,52
32721,1,0,5,74,0,0.0,0.0,0.0,34
11990,0,0,1,1,1,0.0,0.0,0.6,27
42249,0,0,0,0,0,0.0,0.0,0.5,32
21297,0,1,0,0,0,0.75,1.0,0.667,33
28299,0,0,0,0,0,0.0,0.0,1.0,26
20759,0,0,0,0,0,0.0,0.0,0.0,28
24362,0,0,0,0,0,1.0,1.0,0.0,45
19326,0,0,4,15,4,0.0,0.0,0.143,30
36063,0,0,0,0,0,0.0,0.0,0.0,36
345,0,1,3,3,3,1.0,1.0,1.0,23
48940,0,0,0,0,0,0.0,0.0,0.0,33
36441,0,0,0,0,0,0.286,1.0,0.143,30
16334,0,0,0,0,0,0.0,0.0,0.667,27
14612,0,0,0,0,0,0.5,0.5,1.0,27
31903,0,0,0,0,0,0.571,0.667,0.765,38
22935,0,0,0,0,0,0.0,0.0,0.5,25
48116,0,0,0,0,0,0.0,0.0,0.0,31
39524,0,0,5,5,5,0.0,0.0,1.0,22
12383,1,0,10,40,4,0.0,0.0,0.0,33
32226,0,0,0,0,0,0.0,0.0,0.0,32
38307,0,0,0,0,0,0.0,0.0,1.0,29
10312,0,0,0,0,0,0.0,0.0,0.5,24
9334,0,0,0,0,0,0.0,0.0,0.111,41
44347,0,0,0,0,0,1.0,1.0,0.0,41
8830,0,0,0,8,0,0.0,0.0,0.0,53
26474,1,0,10,41,4,0.125,0.5,0.222,55
20392,0,0,3,18,3,0.0,0.0,0.333,24
14442,0,0,0,0,0,0.0,0.0,0.143,33
15113,0,0,0,0,0,0.0,0.0,0.5,34
6147,0,1,0,0,0,0.0,0.0,0.0,31
42734,0,0,0,0,0,0.0,0.0,0.667,34
43168,0,1,0,0,0,0.0,0.0,0.833,25
37439,0,1,0,0,0,1.0,1.0,1.0,27
36791,0,0,0,0,0,0.667,0.667,0.333,23
13014,0,0,0,0,0,0.0,0.0,0.667,29
18579,0,1,0,0,0,0.0,0.0,1.0,26
3746,0,0,0,0,0,0.0,0.0,0.909,36
25153,0,0,0,0,0,0.0,0.0,0.0,23
25639,0,0,0,0,0,0.0,0.0,0.333,30
7688,0,0,10,10,4,0.0,0.0,1.0,26
29296,1,0,7,15,1,0.75,0.75,0.0,30
36944,0,0,0,0,0,0.0,0.0,1.0,57
45363,0,0,7,17,1,0.0,0.0,0.167,45
34817,0,0,10,59,4,0.0,0.0,0.0,59
49884,0,0,0,0,0,0.0,0.0,0.5,54
34288,0,0,0,0,0,0.0,0.0,1.0,29
30199,0,1,0,0,0,0.667,1.0,0.167,31
1755,0,0,0,0,0,0.0,0.0,0.0,25
29842,0,0,20,48,8,0.0,0.0,0.167,43
17321,0,0,0,0,0,0.0,0.0,0.0,24
2501,0,0,2,22,0,0.0,0.0,0.0,43
6291,0,0,11,33,5,0.0,0.0,0.0,41
34901,0,0,2,2,2,0.0,0.0,0.364,32
25374,0,0,0,0,0,0.0,0.0,0.0,32
50575,0,0,9,139,0,0.75,1.0,0.024,31
32119,1,0,9,17,4,0.0,0.0,0.333,51
40620,0,0,0,0,0,0.5,0.5,0.5,29
29205,0,0,0,0,0,0.0,0.0,0.143,43
32644,0,0,0,4,0,0.0,0.0,0.6,36
39482,0,0,0,0,0,0.0,0.0,0.0,36
39972,0,0,7,24,1,0.0,0.0,0.5,36
12821,0,0,0,32,0,0.0,0.0,0.25,30
47769,0,0,4,13,3,0.0,0.0,0.1,35
42019,1,0,3,15,3,0.6,1.0,0.154,39
43195,1,0,53,119,23,0.0,0.0,0.162,50
18652,0,0,0,0,0,0.333,1.0,1.0,21
29221,0,0,0,0,0,0.0,0.0,0.5,27
10861,0,0,3,3,3,0.0,0.0,1.0,27
12705,0,0,0,0,0,0.0,0.0,1.0,40
49814,0,0,1,1,1,0.0,0.0,1.0,28
47602,0,0,8,25,5,1.0,1.0,0.4,39
35126,0,0,1,1,1,0.0,0.0,1.0,24
41096,1,0,3,27,0,0.0,0.0,0.278,41
4376,0,0,0,0,0,0.0,0.0,0.0,30
22681,0,0,0,3,0,0.0,0.0,0.5,34
18076,0,0,0,0,0,0.0,0.0,0.0,35
46059,0,0,0,0,0,0.0,0.0,0.125,48
24084,1,0,32,98,13,0.0,0.0,0.091,44
21018,0,0,2,21,0,0.0,0.0,0.0,46
20643,0,0,0,0,0,1.0,1.0,0.571,33
46744,0,0,0,0,0,1.0,1.0,0.0,44
11060,0,0,8,8,2,0.0,0.0,0.0,41
28104,0,0,0,3,0,0.0,0.0,0.0,45
30656,1,0,21,90,8,0.0,0.0,0.189,50
41461,1,0,0,0,0,0.0,0.0,0.0,39
48697,0,1,0,0,0,1.0,1.0,1.0,23
50651,0,1,2,2,2,0.5,1.0,0.25,27
31096,0,0,4,14,0,0.3,0.316,0.667,34
26061,0,0,21,55,8,0.0,0.0,0.333,49
47742,0,0,7,27,5,0.0,0.0,0.0,37
40274,0,1,0,0,0,0.0,0.0,0.6,22
388,0,0,0,0,0,0.0,0.0,1.0,23
47795,0,0,2,5,1,0.0,0.0,0.2,28
40681,0,0,10,27,4,0.0,0.0,0.0,33
19143,0,0,17,22,6,0.0,0.0,0.333,50
39505,0,1,2,2,2,0.333,0.333,0.333,30
47601,0,1,0,0,0,1.0,1.0,0.0,30
13381,0,1,0,0,0,1.0,1.0,1.0,29
14156,0,0,0,0,0,0.0,0.0,0.0,24
137,0,0,0,0,0,0.0,0.0,0.25,33
17728,1,0,0,0,0,0.0,0.0,0.5,50
42494,0,0,0,0,0,0.0,0.0,0.0,26
37913,0,0,0,0,0,0.0,0.0,0.0,39
8018,0,0,0,0,0,0.0,0.0,0.333,33
34279,0,0,18,32,6,0.0,0.0,0.125,39
14699,0,0,0,7,0,0.0,0.0,0.0,25
4143,0,0,0,0,0,0.0,0.0,0.5,47
10581,0,0,0,0,0,0.0,0.0,0.0,27
6958,0,0,2,24,0,0.0,0.0,0.3,49
38656,0,0,0,0,0,0.0,0.0,0.571,25
7293,0,1,5,5,5,1.0,1.0,0.667,39
19712,0,0,0,0,0,0.0,0.0,0.0,27
8987,0,0,0,0,0,1.0,1.0,0.0,21
29918,0,0,0,0,0,1.0,1.0,0.0,27
27902,0,0,3,3,3,0.0,0.0,1.0,44
46193,0,0,0,0,0,0.0,0.0,0.5,48
26744,0,0,0,0,0,0.0,0.0,0.5,22
15287,0,1,0,0,0,1.0,1.0,0.077,32
41733,0,0,4,15,1,0.0,0.0,0.2,28
44240,1,0,11,34,5,0.0,0.0,0.0,44
21206,0,0,10,19,4,0.0,0.0,0.0,30
34274,0,0,0,0,0,0.0,0.0,1.0,27
40035,0,0,10,10,5,0.0,0.0,0.0,39
43012,0,0,0,0,0,1.0,1.0,0.25,51
22877,1,0,0,0,0,0.0,0.0,0.8,35
29503,0,0,0,0,0,0.0,0.0,0.0,26
819,0,0,0,0,0,0.0,0.0,0.0,27
46,0,0,0,0,0,0.0,0.0,1.0,51
41878,0,0,2,13,2,0.0,0.0,0.667,47
36156,0,0,0,0,0,0.0,0.0,0.0,42
42852,0,0,0,0,0,1.0,1.0,1.0,23
30647,0,1,0,0,0,0.4,1.0,0.412,27
22445,0,0,0,0,0,0.0,0.0,0.5,33
21163,0,1,2,2,2,1.0,1.0,1.0,23
27049,0,0,0,0,0,0.0,0.0,0.0,25
48957,0,0,0,0,0,0.0,0.0,0.5,35
603,1,0,9,40,3,0.0,0.0,0.0,46
5393,0,0,1,6,0,0.0,0.0,0.286,26
24393,0,0,12,38,10,0.0,0.0,0.0,46
50200,0,0,0,0,0,0.0,0.0,1.0,23
19048,0,0,0,0,0,1.0,1.0,0.4,39
50782,0,0,0,0,0,0.0,0.0,0.0,28
16230,0,0,0,0,0,0.0,0.0,0.667,24
38661,1,0,11,35,5,0.0,0.0,0.5,22
17994,0,0,0,0,0,0.0,0.0,0.667,23
222,0,0,0,0,0,0.0,0.0,1.0,34
42780,0,0,0,0,0,0.0,0.0,0.0,36
44574,0,0,11,22,5,0.0,0.0,0.0,30
44994,0,0,0,0,0,0.0,0.0,0.125,31
20310,0,0,0,0,0,0.0,0.0,1.0,21
4989,1,0,0,0,0,0.0,0.0,0.0,34
27141,0,0,0,0,0,0.0,0.0,0.5,29
19857,0,0,0,0,0,0.0,0.0,1.0,25
28741,0,0,0,2,0,0.0,0.0,0.0,26
29172,0,0,0,0,0,0.0,0.0,0.333,40
397,1,0,58,197,25,0.0,0.0,0.0,57
15345,0,0,0,16,0,0.0,0.0,0.0,47
22756,0,1,0,0,0,1.0,1.0,1.0,42
18513,0,1,0,0,0,1.0,1.0,0.333,38
44111,1,0,22,71,10,0.0,0.0,0.2,32
18605,0,0,0,0,0,0.0,0.0,0.0,21
44779,0,0,0,6,0,0.0,0.0,0.0,21
18808,0,0,0,0,0,0.0,0.0,0.333,50
19888,0,0,0,0,0,0.0,0.0,0.0,37
10622,0,1,0,0,0,0.0,0.0,0.462,37
34874,0,0,0,18,0,0.0,0.0,0.167,39
28076,0,0,0,0,0,0.0,0.0,0.0,31
2639,0,0,11,33,5,0.0,0.0,0.0,33
47285,0,1,0,0,0,0.333,1.0,0.176,27
27646,0,0,0,0,0,1.0,1.0,1.0,29
20520,0,1,0,0,0,0.0,0.0,0.25,32
21055,0,0,2,9,2,0.0,0.0,0.1,35
2046,1,0,0,0,0,0.0,0.0,0.0,42
47252,0,0,0,0,0,0.0,0.0,0.5,42
8667,0,0,23,39,12,0.0,0.0,0.188,33
8282,0,0,6,12,4,0.0,0.0,0.5,38
31666,1,0,24,82,6,0.0,0.0,0.0,47
21349,0,0,11,25,5,0.0,0.0,0.0,46
37062,0,0,0,0,0,0.4,0.5,1.0,39
48205,1,0,7,18,7,0.0,0.0,0.667,28
29274,1,0,26,91,6,0.0,0.0,0.135,40
23788,0,0,0,0,0,0.0,0.0,0.714,26
24859,0,0,0,6,0,0.0,0.0,0.0,35
12560,0,0,0,0,0,0.0,0.0,1.0,23
10987,0,0,9,9,9,0.0,0.0,1.0,29
20879,0,0,0,0,0,0.0,0.0,0.333,32
20403,0,0,0,0,0,0.0,0.0,0.0,51
47957,0,0,0,0,0,0.0,0.0,1.0,45
11788,0,0,0,0,0,0.0,0.0,0.5,21
12960,0,0,1,1,0,0.0,0.0,0.0,36
30082,0,0,0,7,0,0.0,0.0,0.4,28
16590,0,0,12,21,7,0.0,0.0,0.5,25
2456,1,0,0,0,0,0.0,0.0,0.5,53
29907,0,1,0,0,0,0.0,0.0,0.0,39
34437,0,0,0,0,0,0.75,0.75,0.909,29
4812,1,0,98,417,33,0.0,0.0,0.031,51
51068,0,0,0,0,0,0.0,0.0,0.0,39
31627,0,0,0,0,0,0.0,0.0,0.083,33
14428,0,1,0,0,0,0.5,1.0,0.375,23
23754,0,1,0,0,0,0.0,0.0,0.0,34
14469,0,1,0,0,0,0.0,0.0,0.667,24
34771,0,0,0,0,0,0.0,0.0,0.0,42
43233,0,1,0,0,0,0.6,1.0,0.8,40
50951,0,0,0,0,0,0.0,0.0,1.0,24
48167,0,1,0,0,0,0.0,0.0,0.25,38
22926,0,0,11,21,5,0.0,0.0,0.5,33
22895,1,0,0,0,0,0.333,1.0,0.0,54
48107,1,0,14,36,8,0.0,0.0,0.5,50
14265,1,0,0,0,0,0.0,0.0,0.667,41
27136,0,0,0,0,0,0.0,0.0,0.0,23
30748,0,1,0,5,0,0.0,0.0,0.2,51
50056,0,0,0,0,0,1.0,1.0,0.0,27
14438,0,0,9,16,3,0.0,0.0,0.25,26
32324,0,0,0,8,0,0.0,0.0,0.0,34
48596,0,0,0,0,0,0.0,0.0,0.0,27
15156,1,0,45,143,18,0.0,0.0,0.1,46
31221,0,1,0,0,0,0.8,0.8,0.0,32
21860,0,0,16,34,8,0.5,0.667,0.105,32
4505,0,1,0,0,0,0.0,0.0,0.053,43
13514,0,0,0,0,0,0.0,0.0,0.0,47
7165,0,0,2,19,0,0.0,0.0,0.333,34
49305,0,0,0,1,0,0.0,0.0,0.25,60
17989,0,0,0,0,0,0.0,0.0,0.0,30
9893,0,1,0,0,0,1.0,1.0,0.0,24
6770,0,1,0,0,0,1.0,1.0,0.667,25
22865,1,0,9,32,0,0.0,0.0,0.059,37
16183,0,0,0,0,0,0.0,0.0,0.0,33
45289,0,0,10,32,2,0.0,0.0,0.0,54
48885,1,0,0,3,0,0.0,0.0,0.375,32
38337,0,0,2,11,2,0.0,0.0,0.429,53
41980,1,0,0,0,0,0.0,0.0,0.0,26
7186,0,0,0,0,0,0.0,0.0,0.0,24
42743,0,0,0,0,0,0.0,0.0,0.0,33
49480,0,0,0,3,0,0.0,0.0,0.062,30
14136,0,0,0,0,0,0.0,0.0,0.0,29
5155,0,0,0,0,0,0.0,0.0,0.0,32
36300,0,1,0,0,0,0.5,1.0,0.333,34
4467,0,0,0,0,0,0.0,0.0,0.0,43
46782,0,1,0,0,0,1.0,1.0,0.667,38
21385,0,0,0,0,0,0.0,0.0,0.0,22
17433,0,0,0,0,0,0.0,0.0,0.5,34
19234,0,0,0,0,0,0.0,0.0,0.0,37
39149,0,0,0,2,0,0.0,0.0,0.3,32
45926,0,0,10,55,4,0.0,0.0,0.0,30
27541,0,0,20,37,8,0.0,0.0,0.0,46
6562,0,0,0,0,0,0.0,0.0,0.172,31
39348,0,0,0,0,0,0.0,0.0,1.0,26
29547,0,0,0,0,0,0.0,0.0,0.5,49
33047,1,0,20,66,7,0.0,0.0,0.111,33
39854,0,0,0,0,0,0.0,0.0,0.0,28
24595,0,0,0,0,0,0.25,0.333,0.333,27
1152,0,0,0,0,0,0.0,0.0,0.25,38
36482,0,0,0,0,0,0.0,0.0,0.333,31
1192,0,1,0,0,0,1.0,1.0,0.5,30
19160,0,0,0,0,0,0.0,0.0,0.0,26
14412,0,0,0,0,0,0.0,0.0,1.0,40
50970,0,0,0,0,0,0.0,0.0,0.0,37
27943,0,1,0,0,0,1.0,1.0,1.0,23
45787,0,0,0,5,0,0.0,0.0,0.0,33
34856,0,0,1,4,1,0.0,0.0,0.667,39
33566,0,0,0,0,0,0.0,0.0,1.0,36
17982,0,0,0,0,0,0.0,0.0,0.889,33
3379,0,0,21,67,9,0.0,0.0,0.286,25
11696,0,0,0,0,0,0.0,0.0,1.0,55
34146,0,0,0,0,0,1.0,1.0,1.0,25
16200,0,0,0,0,0,0.0,0.0,0.0,33
41340,0,0,8,32,4,0.2,0.667,0.308,35
44061,0,0,3,3,3,0.0,0.0,1.0,32
44667,0,0,0,0,0,0.0,0.0,1.0,22
26085,1,0,22,66,10,0.0,0.0,0.0,53
38317,0,0,6,6,4,0.0,0.0,1.0,26
34429,0,0,12,22,5,0.0,0.0,0.833,24
24206,1,0,0,0,0,0.0,0.0,0.0,51
12989,0,0,16,16,10,0.0,0.0,0.667,31
40191,0,1,0,0,0,1.0,1.0,1.0,24
44807,0,0,0,0,0,0.0,0.0,0.667,44
47002,0,0,5,33,0,0.0,0.0,0.25,24
17980,0,0,0,7,0,0.0,0.0,0.25,34
20129,0,1,0,0,0,1.0,1.0,0.667,29
46293,0,0,0,0,0,0.0,0.0,0.4,45
32901,0,0,0,0,0,0.5,0.5,0.333,47
44118,0,0,0,0,0,0.0,0.0,0.333,25
45147,0,1,0,0,0,1.0,1.0,0.8,23
49213,0,0,0,0,0,0.0,0.0,1.0,52
49116,0,0,0,0,0,0.0,0.0,0.0,26
31517,0,0,0,0,0,0.0,0.0,0.077,35
44203,1,0,27,85,14,0.0,0.0,0.083,56
42737,0,0,10,25,4,0.0,0.0,0.667,56
272,0,0,6,23,0,0.0,0.0,0.167,29
12138,0,0,0,0,0,0.0,0.0,0.0,25
813,0,0,0,3,0,0.0,0.0,0.167,61
23364,0,0,0,0,0,0.0,0.0,0.0,24
6195,0,0,0,0,0,0.0,0.0,1.0,23
7628,0,0,0,0,0,0.0,0.0,1.0,36
46801,0,0,13,54,7,0.333,0.667,0.333,52
4084,0,0,0,0,0,0.0,0.0,0.0,25
42114,0,1,0,0,0,0.0,0.0,0.333,24
31737,0,0,0,0,0,0.0,0.0,0.333,27
38303,0,0,0,0,0,0.0,0.0,0.0,39
18160,0,0,0,0,0,0.0,0.0,1.0,53
